# t,x,y,z,vx,vy,vz,ax,ay,az
1.020000,-0.001250,0.353597,0.000000,-0.004903,0.693316,0.000000,-0.009614,-0.000068,0.000000
1.040000,-0.001350,0.367463,0.000000,-0.005193,0.706648,0.000000,-0.009987,-0.000073,0.000000
1.060000,-0.001456,0.381596,0.000000,-0.005495,0.719979,0.000000,-0.010368,-0.000079,0.000000
1.080000,-0.001568,0.395996,0.000000,-0.005808,0.733310,0.000000,-0.010755,-0.000085,0.000000
1.100000,-0.001686,0.410662,0.000000,-0.006133,0.746641,0.000000,-0.011150,-0.000092,0.000000
1.120000,-0.001811,0.425595,0.000000,-0.006469,0.759972,0.000000,-0.011552,-0.000098,0.000000
1.140000,-0.001943,0.440794,0.000000,-0.006818,0.773303,0.000000,-0.011960,-0.000105,0.000000
1.160000,-0.002082,0.456260,0.000000,-0.007178,0.786634,0.000000,-0.012376,-0.000113,0.000000
1.180000,-0.002228,0.471993,0.000000,-0.007552,0.799964,0.000000,-0.012799,-0.000121,0.000000
1.200000,-0.002381,0.487992,0.000000,-0.007938,0.813295,0.000000,-0.013230,-0.000129,0.000000
1.220000,-0.002543,0.504258,0.000000,-0.008337,0.826625,0.000000,-0.013667,-0.000138,0.000000
1.240000,-0.002712,0.520791,0.000000,-0.008749,0.839954,0.000000,-0.014111,-0.000147,0.000000
1.260000,-0.002890,0.537590,0.000000,-0.009175,0.853284,0.000000,-0.014563,-0.000157,0.000000
1.280000,-0.003077,0.554655,0.000000,-0.009614,0.866613,0.000000,-0.015021,-0.000167,0.000000
1.300000,-0.003272,0.571988,0.000000,-0.010067,0.879942,0.000000,-0.015487,-0.000177,0.000000
1.320000,-0.003476,0.589586,0.000000,-0.010534,0.893271,0.000000,-0.015960,-0.000188,0.000000
1.340000,-0.003690,0.607452,0.000000,-0.011015,0.906600,0.000000,-0.016440,-0.000200,0.000000
1.360000,-0.003914,0.625584,0.000000,-0.011511,0.919928,0.000000,-0.016927,-0.000212,0.000000
1.380000,-0.004147,0.643982,0.000000,-0.012021,0.933256,0.000000,-0.017421,-0.000224,0.000000
1.400000,-0.004391,0.662647,0.000000,-0.012546,0.946584,0.000000,-0.017922,-0.000238,0.000000
1.420000,-0.004646,0.681579,0.000000,-0.013086,0.959911,0.000000,-0.018430,-0.000251,0.000000
1.440000,-0.004911,0.700777,0.000000,-0.013642,0.973238,0.000000,-0.018946,-0.000266,0.000000
1.460000,-0.005188,0.720242,0.000000,-0.014213,0.986564,0.000000,-0.019468,-0.000280,0.000000
1.480000,-0.005476,0.739973,0.000000,-0.014799,0.999890,0.000000,-0.019998,-0.000296,0.000000
1.500000,-0.005776,0.759971,0.000000,-0.015402,1.013216,0.000000,-0.020535,-0.000312,0.000000
1.520000,-0.006088,0.780235,0.000000,-0.016021,1.026542,0.000000,-0.021078,-0.000329,0.000000
1.540000,-0.006413,0.800766,0.000000,-0.016656,1.039867,0.000000,-0.021629,-0.000346,0.000000
1.560000,-0.006750,0.821563,0.000000,-0.017308,1.053191,0.000000,-0.022187,-0.000365,0.000000
1.580000,-0.007101,0.842627,0.000000,-0.017976,1.066515,0.000000,-0.022752,-0.000383,0.000000
1.600000,-0.007465,0.863957,0.000000,-0.018661,1.079839,0.000000,-0.023325,-0.000403,0.000000
1.620000,-0.007843,0.885554,0.000000,-0.019364,1.093162,0.000000,-0.023904,-0.000423,0.000000
1.640000,-0.008235,0.907417,0.000000,-0.020084,1.106484,0.000000,-0.024490,-0.000445,0.000000
1.660000,-0.008641,0.929546,0.000000,-0.020822,1.119806,0.000000,-0.025084,-0.000466,0.000000
1.680000,-0.009063,0.951942,0.000000,-0.021577,1.133128,0.000000,-0.025684,-0.000489,0.000000
1.700000,-0.009499,0.974605,0.000000,-0.022351,1.146449,0.000000,-0.026292,-0.000513,0.000000
1.720000,-0.009952,0.997534,0.000000,-0.023143,1.159769,0.000000,-0.026907,-0.000537,0.000000
1.740000,-0.010420,1.020729,0.000000,-0.023953,1.173089,0.000000,-0.027528,-0.000562,0.000000
1.760000,-0.010905,1.044191,0.000000,-0.024782,1.186408,0.000000,-0.028157,-0.000588,0.000000
1.780000,-0.011406,1.067919,0.000000,-0.025630,1.199726,0.000000,-0.028793,-0.000615,0.000000
1.800000,-0.011924,1.091913,0.000000,-0.026497,1.213044,0.000000,-0.029437,-0.000643,0.000000
1.820000,-0.012460,1.116174,0.000000,-0.027383,1.226361,0.000000,-0.030087,-0.000672,0.000000
1.840000,-0.013014,1.140701,0.000000,-0.028289,1.239677,0.000000,-0.030744,-0.000702,0.000000
1.860000,-0.013586,1.165494,0.000000,-0.029215,1.252993,0.000000,-0.031408,-0.000732,0.000000
1.880000,-0.014176,1.190554,0.000000,-0.030161,1.266308,0.000000,-0.032080,-0.000764,0.000000
1.900000,-0.014786,1.215880,0.000000,-0.031127,1.279621,0.000000,-0.032758,-0.000797,0.000000
1.920000,-0.015415,1.241472,0.000000,-0.032113,1.292935,0.000000,-0.033444,-0.000831,0.000000
1.940000,-0.016064,1.267331,0.000000,-0.033120,1.306247,0.000000,-0.034137,-0.000866,0.000000
1.960000,-0.016733,1.293456,0.000000,-0.034147,1.319558,0.000000,-0.034836,-0.000901,0.000000
1.980000,-0.017423,1.319847,0.000000,-0.035196,1.332869,0.000000,-0.035543,-0.000939,0.000000
2.000000,-0.018134,1.346504,0.000000,-0.036266,1.346178,0.000000,-0.036257,-0.000977,0.000000
2.020000,-0.018867,1.373427,0.000000,-0.037357,1.359487,0.000000,-0.036978,-0.001016,0.000000
2.040000,-0.019621,1.400617,0.000000,-0.038470,1.372794,0.000000,-0.037706,-0.001057,0.000000
2.060000,-0.020398,1.428072,0.000000,-0.039605,1.386101,0.000000,-0.038441,-0.001098,0.000000
2.080000,-0.021198,1.455794,0.000000,-0.040762,1.399406,0.000000,-0.039183,-0.001141,0.000000
2.100000,-0.022021,1.483782,0.000000,-0.041942,1.412711,0.000000,-0.039933,-0.001186,0.000000
2.120000,-0.022868,1.512036,0.000000,-0.043143,1.426014,0.000000,-0.040689,-0.001231,0.000000
2.140000,-0.023739,1.540556,0.000000,-0.044368,1.439316,0.000000,-0.041452,-0.001278,0.000000
2.160000,-0.024634,1.569342,0.000000,-0.045616,1.452617,0.000000,-0.042223,-0.001326,0.000000
2.180000,-0.025555,1.598394,0.000000,-0.046886,1.465917,0.000000,-0.043000,-0.001375,0.000000
2.200000,-0.026501,1.627712,0.000000,-0.048180,1.479216,0.000000,-0.043785,-0.001426,0.000000
2.220000,-0.027474,1.657296,0.000000,-0.049498,1.492513,0.000000,-0.044576,-0.001478,0.000000
2.240000,-0.028473,1.687146,0.000000,-0.050839,1.505809,0.000000,-0.045375,-0.001532,0.000000
2.260000,-0.029499,1.717262,0.000000,-0.052205,1.519103,0.000000,-0.046181,-0.001587,0.000000
2.280000,-0.030552,1.747644,0.000000,-0.053594,1.532396,0.000000,-0.046993,-0.001644,0.000000
2.300000,-0.031633,1.778292,0.000000,-0.055008,1.545688,0.000000,-0.047813,-0.001702,0.000000
2.320000,-0.032743,1.809205,0.000000,-0.056447,1.558978,0.000000,-0.048640,-0.001761,0.000000
2.340000,-0.033882,1.840384,0.000000,-0.057911,1.572267,0.000000,-0.049474,-0.001822,0.000000
2.360000,-0.035050,1.871829,0.000000,-0.059399,1.585554,0.000000,-0.050315,-0.001885,0.000000
2.380000,-0.036248,1.903540,0.000000,-0.060913,1.598840,0.000000,-0.051163,-0.001949,0.000000
2.400000,-0.037476,1.935516,0.000000,-0.062453,1.612124,0.000000,-0.052018,-0.002015,0.000000
2.420000,-0.038736,1.967758,0.000000,-0.064018,1.625406,0.000000,-0.052880,-0.002083,0.000000
2.440000,-0.040027,2.000266,0.000000,-0.065609,1.638687,0.000000,-0.053749,-0.002152,0.000000
2.460000,-0.041350,2.033039,0.000000,-0.067226,1.651966,0.000000,-0.054625,-0.002223,0.000000
2.480000,-0.042705,2.066078,0.000000,-0.068869,1.665243,0.000000,-0.055508,-0.002296,0.000000
2.500000,-0.044094,2.099383,0.000000,-0.070539,1.678518,0.000000,-0.056398,-0.002370,0.000000
2.520000,-0.045516,2.132953,0.000000,-0.072236,1.691792,0.000000,-0.057295,-0.002446,0.000000
2.540000,-0.046972,2.166788,0.000000,-0.073960,1.705063,0.000000,-0.058199,-0.002524,0.000000
2.560000,-0.048463,2.200889,0.000000,-0.075711,1.718333,0.000000,-0.059111,-0.002604,0.000000
2.580000,-0.049989,2.235255,0.000000,-0.077489,1.731600,0.000000,-0.060029,-0.002686,0.000000
2.600000,-0.051550,2.269886,0.000000,-0.079295,1.744866,0.000000,-0.060954,-0.002770,0.000000
2.620000,-0.053148,2.304783,0.000000,-0.081128,1.758129,0.000000,-0.061886,-0.002856,0.000000
2.640000,-0.054783,2.339945,0.000000,-0.082990,1.771390,0.000000,-0.062825,-0.002943,0.000000
2.660000,-0.056456,2.375372,0.000000,-0.084880,1.784649,0.000000,-0.063771,-0.003033,0.000000
2.680000,-0.058166,2.411065,0.000000,-0.086798,1.797906,0.000000,-0.064725,-0.003125,0.000000
2.700000,-0.059915,2.447022,0.000000,-0.088745,1.811160,0.000000,-0.065685,-0.003218,0.000000
2.720000,-0.061703,2.483245,0.000000,-0.090721,1.824412,0.000000,-0.066652,-0.003314,0.000000
2.740000,-0.063531,2.519732,0.000000,-0.092726,1.837662,0.000000,-0.067626,-0.003412,0.000000
2.760000,-0.065399,2.556485,0.000000,-0.094760,1.850909,0.000000,-0.068607,-0.003512,0.000000
2.780000,-0.067308,2.593502,0.000000,-0.096824,1.864154,0.000000,-0.069595,-0.003615,0.000000
2.800000,-0.069258,2.630785,0.000000,-0.098918,1.877396,0.000000,-0.070590,-0.003719,0.000000
2.820000,-0.071251,2.668332,0.000000,-0.101041,1.890635,0.000000,-0.071592,-0.003826,0.000000
2.840000,-0.073286,2.706144,0.000000,-0.103194,1.903872,0.000000,-0.072601,-0.003935,0.000000
2.860000,-0.075364,2.744220,0.000000,-0.105378,1.917106,0.000000,-0.073617,-0.004047,0.000000
2.880000,-0.077487,2.782562,0.000000,-0.107592,1.930337,0.000000,-0.074640,-0.004160,0.000000
2.900000,-0.079653,2.821168,0.000000,-0.109837,1.943565,0.000000,-0.075669,-0.004276,0.000000
2.920000,-0.081865,2.860038,0.000000,-0.112113,1.956791,0.000000,-0.076706,-0.004395,0.000000
2.940000,-0.084123,2.899173,0.000000,-0.114421,1.970013,0.000000,-0.077750,-0.004516,0.000000
2.960000,-0.086427,2.938572,0.000000,-0.116759,1.983233,0.000000,-0.078800,-0.004639,0.000000
2.980000,-0.088778,2.978236,0.000000,-0.119129,1.996449,0.000000,-0.079858,-0.004765,0.000000
3.000000,-0.091176,3.018164,0.000000,-0.121531,2.009662,0.000000,-0.080922,-0.004894,0.000000
3.020000,-0.093623,3.058356,0.000000,-0.123965,2.022872,0.000000,-0.081994,-0.005025,0.000000
3.040000,-0.096119,3.098813,0.000000,-0.126432,2.036078,0.000000,-0.083072,-0.005158,0.000000
3.060000,-0.098664,3.139533,0.000000,-0.128930,2.049282,0.000000,-0.084157,-0.005295,0.000000
3.080000,-0.101259,3.180518,0.000000,-0.131461,2.062481,0.000000,-0.085249,-0.005434,0.000000
3.100000,-0.103906,3.221766,0.000000,-0.134025,2.075678,0.000000,-0.086348,-0.005575,0.000000
3.120000,-0.106604,3.263279,0.000000,-0.136623,2.088870,0.000000,-0.087454,-0.005720,0.000000
3.140000,-0.109353,3.305055,0.000000,-0.139253,2.102059,0.000000,-0.088567,-0.005867,0.000000
3.160000,-0.112156,3.347095,0.000000,-0.141917,2.115245,0.000000,-0.089686,-0.006017,0.000000
3.180000,-0.115013,3.389399,0.000000,-0.144614,2.128426,0.000000,-0.090813,-0.006170,0.000000
3.200000,-0.117923,3.431966,0.000000,-0.147346,2.141604,0.000000,-0.091946,-0.006326,0.000000
3.220000,-0.120888,3.474797,0.000000,-0.150111,2.154778,0.000000,-0.093086,-0.006485,0.000000
3.240000,-0.123909,3.517891,0.000000,-0.152911,2.167947,0.000000,-0.094233,-0.006647,0.000000
3.260000,-0.126986,3.561249,0.000000,-0.155745,2.181113,0.000000,-0.095387,-0.006811,0.000000
3.280000,-0.130120,3.604870,0.000000,-0.158614,2.194275,0.000000,-0.096548,-0.006979,0.000000
3.300000,-0.133312,3.648754,0.000000,-0.161518,2.207432,0.000000,-0.097716,-0.007150,0.000000
3.320000,-0.136562,3.692901,0.000000,-0.164457,2.220585,0.000000,-0.098890,-0.007324,0.000000
3.340000,-0.139871,3.737311,0.000000,-0.167432,2.233734,0.000000,-0.100071,-0.007501,0.000000
3.360000,-0.143239,3.781984,0.000000,-0.170441,2.246878,0.000000,-0.101259,-0.007681,0.000000
3.380000,-0.146668,3.826920,0.000000,-0.173487,2.260018,0.000000,-0.102454,-0.007865,0.000000
3.400000,-0.150159,3.872119,0.000000,-0.176569,2.273153,0.000000,-0.103656,-0.008052,0.000000
3.420000,-0.153711,3.917581,0.000000,-0.179686,2.286283,0.000000,-0.104864,-0.008242,0.000000
3.440000,-0.157325,3.963305,0.000000,-0.182840,2.299409,0.000000,-0.106079,-0.008435,0.000000
3.460000,-0.161003,4.009291,0.000000,-0.186031,2.312529,0.000000,-0.107301,-0.008632,0.000000
3.480000,-0.164745,4.055540,0.000000,-0.189259,2.325645,0.000000,-0.108530,-0.008832,0.000000
3.500000,-0.168552,4.102051,0.000000,-0.192523,2.338756,0.000000,-0.109766,-0.009036,0.000000
3.520000,-0.172425,4.148824,0.000000,-0.195825,2.351862,0.000000,-0.111008,-0.009243,0.000000
3.540000,-0.176363,4.195860,0.000000,-0.199163,2.364962,0.000000,-0.112257,-0.009454,0.000000
3.560000,-0.180369,4.243157,0.000000,-0.202540,2.378057,0.000000,-0.113513,-0.009668,0.000000
3.580000,-0.184443,4.290716,0.000000,-0.205954,2.391147,0.000000,-0.114775,-0.009886,0.000000
3.600000,-0.188585,4.338537,0.000000,-0.209407,2.404231,0.000000,-0.116044,-0.010107,0.000000
3.620000,-0.192796,4.386620,0.000000,-0.212897,2.417310,0.000000,-0.117320,-0.010333,0.000000
3.640000,-0.197077,4.434964,0.000000,-0.216426,2.430383,0.000000,-0.118603,-0.010562,0.000000
3.660000,-0.201430,4.483569,0.000000,-0.219994,2.443450,0.000000,-0.119892,-0.010794,0.000000
3.680000,-0.205854,4.532436,0.000000,-0.223600,2.456511,0.000000,-0.121188,-0.011031,0.000000
3.700000,-0.210350,4.581564,0.000000,-0.227246,2.469567,0.000000,-0.122491,-0.011271,0.000000
3.720000,-0.214919,4.630953,0.000000,-0.230930,2.482616,0.000000,-0.123800,-0.011516,0.000000
3.740000,-0.219563,4.680603,0.000000,-0.234654,2.495659,0.000000,-0.125116,-0.011764,0.000000
3.760000,-0.224281,4.730514,0.000000,-0.238418,2.508696,0.000000,-0.126438,-0.012016,0.000000
3.780000,-0.229074,4.780686,0.000000,-0.242221,2.521727,0.000000,-0.127767,-0.012273,0.000000
3.800000,-0.233944,4.831118,0.000000,-0.246065,2.534751,0.000000,-0.129103,-0.012533,0.000000
3.820000,-0.238891,4.881810,0.000000,-0.249949,2.547769,0.000000,-0.130446,-0.012797,0.000000
