Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
2.38356,0,0,0,0,-0.0230809,0.02198,-0.00699213,0.000769104,0,0,0,0,0.548869,-0.504757,0.166105,-0.019087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.33669,0,0.0566908,0.0469614,0.00384988,0.486897,-0.478075,0.164821,-0.0196631,1,0.444078,-0.0588294,-0.0195509,-0.0871303,0.0378029,-0.000736204,-0.00100704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.33669,1,0.41006,-0.0296701,-0.00850939,-0.195531,0.145693,-0.0399107,0.00391465,1,-0.417895,-0.0296701,-0.00850939,-0.269827,0.314717,-0.118828,0.0150121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.38356,1,-0.350473,-0.0276452,0.0195509,-0.550872,0.583023,-0.210652,0.0258127,0,-0.115273,0.0469614,-0.00384988,0.0940487,-0.0954156,0.0332521,-0.00396364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
