# t,x,y,z,vx,vy,vz,ax,ay,az
3.100000,-11.006101,-12.438928,-9.757839,-10.926228,-11.843487,-8.271758,-6.069908,-5.760638,-2.500536,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.200000,-12.128981,-13.651784,-10.597023,-11.530339,-12.410557,-8.506900,-6.008355,-5.575837,-2.199551,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.300000,-13.311925,-14.920375,-11.458190,-12.127118,-12.957695,-8.711167,-5.923392,-5.362235,-1.883529,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.400000,-14.554084,-16.242565,-12.338182,-12.714265,-13.482095,-8.883206,-5.815872,-5.121356,-1.555514,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.500000,-15.854383,-17.615948,-13.233722,-13.289573,-13.981112,-9.021975,-5.686761,-4.854858,-1.218642,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.600000,-17.211533,-19.037859,-14.141443,-13.850933,-14.452272,-9.126746,-5.537126,-4.564525,-0.876121,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.700000,-18.624038,-20.505397,-15.057924,-14.396352,-14.893285,-9.197119,-5.368123,-4.252251,-0.531205,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.800000,-20.090209,-22.015441,-15.979717,-14.923954,-15.302057,-9.233017,-5.180991,-3.920025,-0.187171,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.900000,-21.608177,-23.564670,-16.903386,-15.431989,-15.676694,-9.234692,-4.977037,-3.569915,0.152704,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.000000,-23.175901,-25.149585,-17.825534,-15.918846,-16.015515,-9.202723,-4.757634,-3.204057,0.485170,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.100000,-24.791190,-26.766530,-18.742839,-16.383049,-16.317053,-9.138011,-4.524202,-2.824637,0.807027,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.200000,-26.451711,-28.411712,-19.652085,-16.823268,-16.580064,-9.041775,-4.278206,-2.433882,1.115146,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.300000,-28.155005,-30.081224,-20.550194,-17.238321,-16.803526,-8.915541,-4.021142,-2.034037,1.406499,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.400000,-29.898502,-31.771072,-21.434254,-17.627178,-16.986644,-8.761132,-3.754527,-1.627359,1.678178,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.500000,-31.679538,-33.477189,-22.301551,-17.988959,-17.128846,-8.580654,-3.479891,-1.216099,1.927421,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.600000,-33.495367,-35.195465,-23.149594,-18.322940,-17.229785,-8.376482,-3.198769,-0.802485,2.151636,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.700000,-35.343180,-36.921766,-23.976145,-18.628547,-17.289337,-8.151241,-2.912684,-0.388714,2.348426,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
